num items,num bidders,avg rev,,
4,80,35.77708764,35.77708764,3.55271E-14
5,2,6.929646456,7.071067812,0.141421356
5,3,8.487048957,8.660254038,0.173205081
5,4,9.8,10,0.2
5,5,11.06853649,11.18033989,0.111803399
5,6,12.18621147,12.24744871,0.061237244
5,7,13.22875656,13.22875656,5.32907E-14
5,8,14.07142495,14.14213562,0.070710678
5,9,14.925,15,0.075
5,10,15.73233136,15.8113883,0.079056942
5,11,16.58312395,16.58312395,9.59233E-14
5,12,17.32050808,17.32050808,7.10543E-14
5,13,18.02775638,18.02775638,4.61853E-14
5,14,18.6147455,18.70828693,0.093541435
5,15,19.26809215,19.36491673,0.096824584
5,16,20,20,0
5,17,20.61552813,20.61552813,3.55271E-15
5,18,21.10713742,21.21320344,0.106066017
5,19,21.79449472,21.79449472,6.75016E-14
5,20,22.36067977,22.36067977,9.9476E-14
5,21,22.91287847,22.91287847,0
5,22,23.4520788,23.4520788,4.9738E-14
5,23,23.73936604,23.97915762,0.239791576
5,24,24.49489743,24.49489743,8.17124E-14
5,25,25,25,0
5,26,25.49509757,25.49509757,2.4869E-14
5,27,25.98076211,25.98076211,6.03961E-14
5,28,26.45751311,26.45751311,7.10543E-15
5,29,26.92582404,26.92582404,2.13163E-14
5,30,27.38612788,27.38612788,7.10543E-15
5,31,27.83882181,27.83882181,7.10543E-15
5,32,28.28427125,28.28427125,3.55271E-15
5,33,28.72281323,28.72281323,4.26326E-14
5,34,29.15475947,29.15475947,3.55271E-15
5,35,29.43249692,29.58039892,0.147901995
5,36,30,30,0
5,37,30.41381265,30.41381265,9.59233E-14
5,38,30.82207001,30.82207001,7.81597E-14
5,39,31.22498999,31.22498999,8.88178E-14
5,40,31.6227766,31.6227766,9.59233E-14
5,41,32.01562119,32.01562119,4.26326E-14
5,42,32.40370349,32.40370349,0
5,43,32.78719262,32.78719262,0
5,44,33.1662479,33.1662479,9.23706E-14
5,45,33.54101966,33.54101966,4.9738E-14
5,46,33.91164992,33.91164992,4.26326E-14
5,47,34.278273,34.278273,2.13163E-14
5,48,34.64101615,34.64101615,4.26326E-14
5,49,35,35,0
5,50,35.35533906,35.35533906,7.81597E-14
5,51,35.70714214,35.70714214,5.68434E-14
5,52,36.05551275,36.05551275,9.23706E-14
5,53,36.40054945,36.40054945,9.23706E-14
5,54,36.74234614,36.74234614,7.10543E-14
5,55,37.08099244,37.08099244,1.42109E-14
5,56,37.41657387,37.41657387,1.42109E-14
5,57,37.74917218,37.74917218,4.9738E-14
5,58,38.07886553,38.07886553,4.26326E-14
5,59,38.40572874,38.40572874,4.26326E-14
5,60,38.72983346,38.72983346,7.10543E-14
5,61,39.05124838,39.05124838,7.10543E-14
5,62,39.37003937,39.37003937,5.68434E-14
5,63,39.68626967,39.68626967,5.68434E-14
5,64,39.8,40,0.2
5,65,40.31128874,40.31128874,4.26326E-14
5,66,40.62019202,40.62019202,7.10543E-15
5,67,40.92676386,40.92676386,5.68434E-14
5,68,41.23105626,41.23105626,7.10543E-15
5,69,41.53311931,41.53311931,7.10543E-14
5,70,41.83300133,41.83300133,7.81597E-14
5,71,42.13074887,42.13074887,0
5,72,42.42640687,42.42640687,4.26326E-14
5,73,42.72001873,42.72001873,5.68434E-14
5,74,43.01162634,43.01162634,3.55271E-14
5,75,43.30127019,43.30127019,3.55271E-14
5,76,43.58898944,43.58898944,3.55271E-14
5,77,43.87482194,43.87482194,1.42109E-14
5,78,44.15880433,44.15880433,3.55271E-14
5,79,44.44097209,44.44097209,4.26326E-14
5,80,44.72135955,44.72135955,9.9476E-14
6,2,8.442854967,8.485281374,0.042426407
6,3,10.34034332,10.39230485,0.051961524
6,4,12,12,0
6,5,13.41640786,13.41640786,3.90799E-14
6,6,14.62345376,14.69693846,0.073484692
6,7,15.87450787,15.87450787,4.44089E-14
6,8,16.97056275,16.97056275,4.26326E-14
6,9,18,18,0
6,10,18.68906097,18.97366596,0.284604989
6,11,19.89974874,19.89974874,0
6,12,20.78460969,20.78460969,2.84217E-14
6,13,21.52514111,21.63330765,0.108166538
6,14,22.3376946,22.44994432,0.112249722
6,15,23.23790008,23.23790008,3.55271E-15
6,16,24,24,0
6,17,24.73863375,24.73863375,6.03961E-14
6,18,25.45584412,25.45584412,1.06581E-14
6,19,26.15339366,26.15339366,4.61853E-14
6,20,26.83281573,26.83281573,7.81597E-14
6,21,27.49545417,27.49545417,3.90799E-14
6,22,28.14249456,28.14249456,7.81597E-14
6,23,28.77498914,28.77498914,1.42109E-14
6,24,29.39387691,29.39387691,3.55271E-14
6,25,30,30,0
6,26,30.59411708,30.59411708,7.10543E-15
6,27,31.17691454,31.17691454,9.23706E-14
6,28,31.74901573,31.74901573,8.88178E-14
6,29,32.31098884,32.31098884,2.13163E-14
6,30,32.86335345,32.86335345,6.39488E-14
6,31,33.40658618,33.40658618,2.84217E-14
6,32,33.9411255,33.9411255,8.52651E-14
6,33,34.46737588,34.46737588,7.10543E-14
6,34,34.98571137,34.98571137,7.10543E-15
6,35,35.4964787,35.4964787,0
6,36,35.82,36,0.18
6,37,36.49657518,36.49657518,2.13163E-14
6,38,36.98648402,36.98648402,5.68434E-14
6,39,37.46998799,37.46998799,9.23706E-14
6,40,37.94733192,37.94733192,4.9738E-14
6,41,38.41874542,38.41874542,9.23706E-14
6,42,38.88444419,38.88444419,6.39488E-14
6,43,39.34463115,39.34463115,0
6,44,39.79949748,39.79949748,0
6,45,40.24922359,40.24922359,1.42109E-14
6,46,40.6939799,40.6939799,7.10543E-15
6,47,41.1339276,41.1339276,5.68434E-14
6,48,41.56921938,41.56921938,5.68434E-14
6,49,42,42,0
6,50,42.42640687,42.42640687,4.9738E-14
6,51,42.84857057,42.84857057,0
6,52,43.26661531,43.26661531,7.10543E-14
6,53,43.68065934,43.68065934,7.10543E-15
6,54,44.09081537,44.09081537,7.10543E-15
6,55,44.49719092,44.49719092,7.81597E-14
6,56,44.89988864,44.89988864,0
6,57,45.29900661,45.29900661,0
6,58,45.69463864,45.69463864,4.9738E-14
6,59,46.08687449,46.08687449,4.26326E-14
6,60,46.47580015,46.47580015,7.10543E-15
6,61,46.86149806,46.86149806,2.13163E-14
6,62,47.24404724,47.24404724,7.10543E-14
6,63,47.6235236,47.6235236,2.84217E-14
6,64,48,48,0
6,65,48.37354649,48.37354649,9.23706E-14
6,66,48.74423043,48.74423043,6.39488E-14
6,67,49.11211663,49.11211663,0
6,68,49.47726751,49.47726751,2.13163E-14
6,69,49.83974318,49.83974318,4.9738E-14
6,70,50.19960159,50.19960159,2.84217E-14
6,71,50.55689864,50.55689864,5.68434E-14
6,72,50.91168825,50.91168825,2.13163E-14
6,73,51.26402247,51.26402247,7.81597E-14
6,74,51.6139516,51.6139516,5.68434E-14
6,75,51.96152423,51.96152423,2.13163E-14
6,76,52.30678732,52.30678732,9.23706E-14
6,77,52.64978632,52.64978632,3.55271E-14
6,78,52.9905652,52.9905652,8.52651E-14
6,79,53.3291665,53.3291665,3.55271E-14
6,80,53.66563146,53.66563146,5.68434E-14
7,2,9.751002513,9.899494937,0.148492424
7,3,12.12435565,12.12435565,4.08562E-14
7,4,14,14,0
7,5,15.57421346,15.65247584,0.078262379
7,6,17.06069606,17.1464282,0.085732141
7,7,18.52025918,18.52025918,3.55271E-14
7,8,19.79898987,19.79898987,3.19744E-14
7,9,21,21,0
7,10,22.13594362,22.13594362,5.68434E-14
7,11,23.21637353,23.21637353,0
7,12,24.24871131,24.24871131,8.17124E-14
7,13,25.11266463,25.23885893,0.126194295
7,14,26.19160171,26.19160171,8.88178E-14
7,15,27.11088342,27.11088342,2.13163E-14
7,16,28,28,0
7,17,28.86173938,28.86173938,2.4869E-14
7,18,29.69848481,29.69848481,9.59233E-14
7,19,30.5122926,30.5122926,1.77636E-14
7,20,31.30495168,31.30495168,5.68434E-14
7,21,32.07802986,32.07802986,7.81597E-14
7,22,32.83291032,32.83291032,7.10543E-15
7,23,33.57082066,33.57082066,3.55271E-14
7,24,34.2928564,34.2928564,8.52651E-14
7,25,35,35,0
7,26,35.6931366,35.6931366,9.23706E-14
7,27,36.37306696,36.37306696,2.13163E-14
7,28,37.04051835,37.04051835,7.10543E-14
7,29,37.69615365,37.69615365,2.84217E-14
7,30,38.34057903,38.34057903,2.84217E-14
7,31,38.97435054,38.97435054,5.68434E-14
7,32,39.59797975,39.59797975,6.39488E-14
7,33,40.21193853,40.21193853,0
7,34,40.81666326,40.81666326,7.10543E-15
7,35,41.41255848,41.41255848,7.10543E-15
7,36,42,42,0
7,37,42.57933771,42.57933771,3.55271E-14
7,38,43.15089802,43.15089802,3.55271E-14
7,39,43.71498599,43.71498599,9.23706E-14
7,40,44.27188724,44.27188724,1.42109E-14
7,41,44.82186966,44.82186966,4.26326E-14
7,42,45.36518489,45.36518489,2.84217E-14
7,43,45.90206967,45.90206967,0
7,44,46.43274706,46.43274706,0
7,45,46.95742753,46.95742753,8.52651E-14
7,46,47.47630988,47.47630988,7.81597E-14
7,47,47.9895822,47.9895822,7.10543E-15
7,48,48.49742261,48.49742261,6.39488E-14
7,49,49,49,0
7,50,49.49747468,49.49747468,2.84217E-14
7,51,49.989999,49.989999,4.9738E-14
7,52,50.47771786,50.47771786,4.9738E-14
7,53,50.96076922,50.96076922,2.84217E-14
7,54,51.4392846,51.4392846,4.26326E-14
7,55,51.91338941,51.91338941,4.26326E-14
7,56,52.38320341,52.38320341,7.81597E-14
7,57,52.84884105,52.84884105,4.26326E-14
7,58,53.31041174,53.31041174,6.39488E-14
7,59,53.76802024,53.76802024,5.68434E-14
7,60,54.22176685,54.22176685,4.26326E-14
7,61,54.67174773,54.67174773,7.81597E-14
7,62,55.11805512,55.11805512,7.81597E-14
7,63,55.56077753,55.56077753,7.10543E-15
7,64,56,56,0
7,65,56.43580424,56.43580424,4.26326E-14
7,66,56.86826883,56.86826883,2.84217E-14
7,67,57.2974694,57.2974694,4.9738E-14
7,68,57.72347876,57.72347876,4.9738E-14
7,69,58.14636704,58.14636704,2.84217E-14
7,70,58.56620186,58.56620186,8.52651E-14
7,71,58.98304841,58.98304841,7.10543E-15
7,72,59.39696962,59.39696962,8.52651E-14
7,73,59.80802622,59.80802622,1.42109E-14
7,74,60.21627687,60.21627687,8.52651E-14
7,75,60.62177826,60.62177826,7.10543E-15
7,76,61.02458521,61.02458521,3.55271E-14
7,77,61.42475071,61.42475071,5.68434E-14
7,78,61.82232606,61.82232606,3.55271E-14
7,79,62.21736092,62.21736092,2.13163E-14
7,80,62.60990337,62.60990337,1.42109E-14
